step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
54,1.1394454362116322,0,1.1394454362116322,-1.1000000000000008,0,-1.1000000000000008,1385.256052667498,-14,9.780276487850188,399.1744078367559,-4,3.242970148791869,0.0,0,0.0,-395.6595300465697,4,-2.666451138098921,394.2465959909856,-4,-1.684841696978424,99.74413033713905,-1,0.05977615182968066,3373.5379235351393,-34,33.0967528131373,2988.605467947087,-30,19.119685287356788
55,1.1194454362116322,0,1.1194454362116322,-1.1200000000000008,0,-1.1200000000000008,1385.256052667498,-14,9.780276487850188,299.1966889927739,-3,2.220088264376443,0.0,0,0.0,-395.6595300465697,4,-2.666451138098921,394.2465959909856,-4,-1.7222049802110178,99.74413033713905,-1,0.07251715669787018,3471.804807817401,-35,33.11536736828157,3088.677689425288,-31,19.919481898514277
56,1.0994454362116322,0,1.0994454362116322,-1.1400000000000008,0,-1.1400000000000008,1385.256052667498,-14,9.225238403899539,399.3048928387729,-4,3.336091867576272,0.0,0,0.0,-395.6595300465697,4,-2.5078688283987844,394.2465959909856,-4,-1.7222049802110178,99.74413033713905,-1,0.16418368092868718,3373.4840573639963,-34,31.694937009543082,3088.667689425288,-31,19.90948189851406
57,1.0794454362116321,0,1.0794454362116321,-1.1600000000000008,0,-1.1600000000000008,1385.256052667498,-14,8.009836883835305,399.2948928387729,-4,3.326091867576281,0.0,0,0.0,-395.6595300465697,4,-2.160611251237526,394.2465959909856,-4,-1.7222049802110178,99.74413033713905,-1,0.19236519929968665,3275.104977208315,-33,28.738897146824456,3188.7547160521813,-32,21.004308282608235
58,-97.43475480658752,1,1.557445436211637,-1.1800000000000008,0,-1.1800000000000008,1385.256052667498,-14,8.009836883835305,499.33236623514756,-5,4.371365021151746,0.0,0,0.0,-395.6595300465697,4,-2.160611251237526,394.2465959909856,-4,-1.7222049802110178,99.74413033713905,-1,0.193868507307144,3176.7918888565755,-32,28.800538493917884,3287.2349162949804,-33,20.492308282608064
59,-97.45475480658753,1,1.5327066612043296,-1.2000000000000008,0,-1.2000000000000008,1385.256052667498,-14,9.68378255146149,499.33236623514756,-5,4.395058896188289,0.0,0,0.0,-395.6595300465697,4,-2.6388814419879054,394.2465959909856,-4,-1.7032498801818292,99.74413033713905,-1,0.20089444194762507,3275.1504639719797,-33,32.730112984179414,3387.0978392305637,-34,21.524149325640337
60,-97.47475480658754,1,1.454948600033262,-1.2200000000000009,0,-1.2200000000000009,1385.256052667498,-14,9.68378255146149,499.33236623514756,-5,4.683849202043575,0.0,0,0.0,-395.6595300465697,4,-2.6388814419879054,394.2465959909856,-4,-1.4722176354976,99.74413033713905,-1,0.20571295739983952,3373.4415179476396,-34,32.766004808694106,3486.845246043805,-35,24.305626812077207
61,-97.49475480658755,1,1.428667297557766,-1.2400000000000009,0,-1.2400000000000009,1385.256052667498,-14,9.68378255146149,499.33236623514756,-5,4.715255714421005,0.0,0,0.0,-395.6595300465697,4,-2.6388814419879054,394.2465959909856,-4,-1.447092425595656,99.74413033713905,-1,0.2095219713697105,3471.743079446317,-35,32.812404156225966,3586.5800902520955,-36,25.336894502864197
62,-97.51475480658756,1,1.3781637005244392,-1.260000000000001,0,-1.260000000000001,1385.256052667498,-14,9.68378255146149,499.33236623514756,-5,4.8677736995875875,0.0,0,0.0,-395.6595300465697,4,-2.6388814419879054,394.2465959909856,-4,-1.32507803746239,99.74413033713905,-1,0.21112405977336834,3570.009020021315,-36,32.82318258007854,3686.2539272663194,-37,27.215942503175484
63,-97.53475480658757,1,1.3511131906858935,-1.280000000000001,0,-1.280000000000001,1385.256052667498,-14,9.68378255146149,499.33236623514756,-5,4.903026248780236,0.0,0,0.0,-395.6595300465697,4,-2.6388814419879054,394.2465959909856,-4,-1.2968759981082485,99.74413033713905,-1,0.21271159345367607,3668.250757960102,-37,32.80975836771995,3785.913663260866,-38,28.25067936447431
64,-97.55475480658758,1,1.2804152605808383,-1.300000000000001,0,-1.300000000000001,1385.256052667498,-14,10.022392891027948,499.33236623514756,-5,5.156515899305475,0.0,0,0.0,-395.6595300465697,4,-2.7356272532925914,394.2465959909856,-4,-1.0940842776880686,99.74413033713905,-1,0.21967921072406682,3766.447508413506,-38,33.670431877373176,3885.4720033952026,-39,30.9003707756342
65,-97.57475480658759,1,1.260415260580828,-1.320000000000001,0,-1.320000000000001,1385.256052667498,-14,10.022392891027948,499.33236623514756,-5,5.156515899305475,0.0,0,0.0,-395.6595300465697,4,-2.7356272532925914,394.2465959909856,-4,-1.0940842776880686,99.74413033713905,-1,0.22543819201543158,3864.840805902184,-39,33.83275366773205,3985.0914937611647,-40,31.684691074427974
66,-97.5947548065876,1,1.2404152605808179,-1.340000000000001,0,-1.340000000000001,1385.256052667498,-14,9.734018783088004,499.33236623514756,-5,5.156515899305475,0.0,0,0.0,-395.6595300465697,4,-2.653234651024036,394.2465959909856,-4,-1.0940842776880686,99.74413033713905,-1,0.23627526010466227,3864.840805902184,-39,33.029425795613406,4084.725396678067,-41,32.4834239241618
67,-97.61475480658761,1,1.2204152605808076,-1.360000000000001,0,-1.360000000000001,1385.246052667498,-14,9.3588701537808,499.33236623514756,-5,5.156515899305475,0.0,0,0.0,-395.6595300465697,4,-2.548906471221983,394.2465959909856,-4,-1.0940842776880686,99.74413033713905,-1,0.25169692825667767,3864.830805902184,-39,32.00222604254304,4184.286389525378,-42,33.20924670430395
68,-97.63475480658762,1,1.2004152605807974,-1.380000000000001,0,-1.380000000000001,1286.8803147287106,-13,8.950233869158183,499.33236623514756,-5,5.156515899305475,0.0,0,0.0,-395.6595300465697,4,-2.450274397476676,394.2465959909856,-4,-1.0940842776880686,99.74413033713905,-1,0.2559855237578148,3766.4408653271857,-38,30.952936660801697,4284.000917359152,-43,34.08860447090956
